Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Danganronpa: Trigger Happy Havoc,PSV,2013,3,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,80,55,8.1,235,Spike Chunsoft,M
Def Jam Rapstar,Wii,2010,3,Konami Digital Entertainment,0.29,0.02,0,0.02,0.33,65,5,tbd,,"Terminal Reality, 4mm Games",T
Family Party: 90 Great Games Party Pack,Wii,2010,3,D3Publisher,0.31,0,0,0.02,0.33,,,tbd,,D3Publisher,E10+
Pinball Hall of Fame: The Gottlieb Collection,PS2,2004,3,Play It,0.16,0.12,0,0.04,0.33,,,,,,
Buzz! The Ultimate Music Quiz,PS3,2010,3,Sony Computer Entertainment,0,0.25,0,0.08,0.33,,,,,,
Def Jam Rapstar,PS3,2010,3,Konami Digital Entertainment,0.25,0.04,0,0.03,0.32,75,25,6.3,4,"Terminal Reality, 4mm Games",T
Hatsune Miku: Project Mirai DX,3DS,2015,3,Sega,0.16,0.04,0.1,0.02,0.32,80,32,8.5,71,Sega,E10+
Just Dance 2016,XOne,2015,3,Ubisoft,0.25,0.04,0,0.03,0.32,66,10,6.1,18,Ubisoft,E10+
Momotarou Dentetsu 20-Shuunen,DS,2008,3,Hudson Soft,0,0,0.32,0,0.32,,,,,,
Minute to Win It,X360,2011,3,Zoo Games,0.3,0,0,0.02,0.32,,,tbd,,Smack Down Productions,E
The Black Eyed Peas Experience,X360,2011,3,Ubisoft,0.2,0.1,0,0.03,0.32,66,17,5.8,8,iNiS,T
Just Dance 2016,X360,2015,3,Ubisoft,0.23,0.05,0,0.03,0.32,,,6,5,Ubisoft,E10+
Hatsune Miku: Project Diva F 2nd,PSV,2014,3,Sega,0.08,0.05,0.16,0.04,0.32,81,8,8.4,69,Sega,T
Karaoke Revolution Presents American Idol Encore 2,Wii,2008,3,Konami Digital Entertainment,0.3,0,0,0.02,0.32,,,tbd,,Blitz Games,E10+
Extreme Pinball,PS,1995,3,Electronic Arts,0.18,0.12,0,0.02,0.32,,,,,,
Karaoke Revolution Volume 3,PS2,2004,3,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,82,25,7.8,10,Harmonix Music Systems,E
Persona 4: Dancing All Night,PSV,2015,3,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76,51,8.6,83,"Atlus, Dingo Inc.",T
"Carnival Games: Monkey See, Monkey Do!",X360,2011,3,Take-Two Interactive,0.14,0.15,0,0.03,0.32,,,,,,
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005,3,N/A,0.23,0.08,0,0.01,0.32,,,,,,
Wipeout 2,Wii,2011,3,Activision,0.3,0,0,0.02,0.32,,,tbd,,Endemol,E10+
Rock Band Country Track Pack,PS2,2009,3,MTV Games,0.16,0.12,0,0.04,0.32,,,tbd,,Harmonix Music Systems,E10+
Sega Smash Pack,GBA,2002,3,Atari,0.23,0.08,0,0.01,0.32,60,14,tbd,,CodeFire,E
Momotarou Dentetsu Happy,SNES,1996,3,Hudson Soft,0,0,0.32,0,0.32,,,,,,
DJ Hero,PS2,2009,3,Activision,0.1,0.02,0,0.2,0.32,87,4,6.4,5,FreeStyleGames,T
Quiz Magic Academy DS,DS,2008,3,Konami Digital Entertainment,0,0,0.32,0,0.32,,,,,,
Fishing Master,Wii,2007,3,Konami Digital Entertainment,0.29,0,0,0.02,0.31,58,9,8.1,9,Hudson Soft,E
Sesame Street: Elmo's Letter Adventure,PS,1998,3,NewKidCo,0.17,0.12,0,0.02,0.31,,,,,,
Birthday Party Bash,Wii,2009,3,Take-Two Interactive,0.29,0,0,0.02,0.31,,,3,4,Cat Daddy Games,E
Jampack: Summer 2003 (RP-M),PS2,2003,3,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,,,,,,
Namco Museum: Virtual Arcade,X360,2008,3,Atari,0.27,0.01,0.01,0.02,0.31,63,16,tbd,,Namco Bandai Games,E10+
Tiny Toon Adventures: The Great Beanstalk,PS,1998,3,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31,,,,,,
Peppa Pig: Theme Park Fun,DS,2011,3,P2 Games,0,0.27,0,0.04,0.31,,,,,,
Jampack Volume 12,PS2,2005,3,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,,,,,,
Midway Arcade Treasures 2,XB,2004,3,Midway Games,0.24,0.05,0,0.01,0.31,74,38,7.4,7,Backbone Entertainment,M
SingStar Take That,PS3,2009,3,Sony Computer Entertainment,0,0.28,0,0.03,0.31,,,,,,
South Park: Chef's Luv Shack,PS,1998,3,Acclaim Entertainment,0.17,0.12,0,0.02,0.31,,,,,,
Music Maker,PS2,2001,3,Magix,0.15,0.12,0,0.04,0.31,,,tbd,,Magix,E
Shrek's Carnival Craze Party Games,Wii,2008,3,Activision,0.28,0,0,0.02,0.31,,,,,,
Calvin Tucker's Redneck Jamboree,Wii,2008,3,Zoo Games,0.28,0,0,0.02,0.31,26,6,tbd,,Humagade,E10+
My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009,3,Mentor Interactive,0.29,0,0,0.02,0.31,,,,,,
A Collection of Classic Games from the Intellivision,PS,1999,3,Activision,0.17,0.12,0,0.02,0.31,,,,,,
Gameboy Gallery,GB,1995,3,Nintendo,0,0,0.3,0,0.3,,,,,,
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005,3,Sega,0,0,0.3,0,0.3,,,,,,
Mario Party: Star Rush,3DS,2016,3,Nintendo,0.08,0.13,0.08,0.02,0.3,68,37,6.8,16,"Nintendo, Nd Cube",E
Karaoke Revolution Party,PS2,2005,3,Konami Digital Entertainment,0.15,0.12,0,0.04,0.3,78,25,tbd,,Harmonix Music Systems,E10+
Rhythm Tengoku,GBA,2006,3,Nintendo,0,0,0.3,0.01,0.3,,,,,,
Nounai Aeshe: IQ Suppli DS,DS,2006,3,Spike,0,0,0.3,0,0.3,,,,,,
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010,3,Namco Bandai Games,0,0,0.3,0,0.3,,,,,,
Squinkies,DS,2011,3,Activision,0.26,0.02,0,0.02,0.3,,,tbd,,Human Soft,E
Capcom Classics Collection Remixed,PSP,2006,3,Capcom,0.27,0,0,0.02,0.3,72,37,7,5,Digital Eclipse,T
Guitar Hero: Van Halen,X360,2009,3,Activision,0.16,0.1,0,0.03,0.29,57,34,5.8,17,"Neversoft Entertainment, Underground Development",T
Def Jam Rapstar,X360,2010,3,Konami Digital Entertainment,0.25,0.02,0,0.02,0.29,74,36,5.4,9,"Terminal Reality, 4mm Games",T
Rabbids: Alive & Kicking,X360,2011,3,Ubisoft,0.15,0.11,0,0.03,0.29,,,,,,
Jeopardy! 2nd Edition,PS,2000,3,Hasbro Interactive,0.16,0.11,0,0.02,0.29,,,,,,
Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,3,Enix Corporation,0,0,0.29,0,0.29,,,,,,
Alvin and the Chipmunks: The Squeakquel,DS,2009,3,Majesco Entertainment,0.27,0,0,0.02,0.29,,,tbd,,ImaginEngine,E
Duel Masters: Sempai Legends,GBA,2003,3,Atari,0.21,0.08,0,0.01,0.29,69,19,8,5,Mistic Software,E
Just Dance Wii 2,Wii,2012,3,Nintendo,0,0,0.29,0,0.29,,,,,,
DX Game of Life,PS,1996,3,Takara,0,0,0.27,0.02,0.29,,,,,,
Karaoke Revolution Glee: Volume 3,Wii,2011,3,Konami Digital Entertainment,0.23,0.04,0,0.02,0.29,,,tbd,,Hijinx Studios,T
Shrek Super Party,PS2,2002,3,TDK Mediactive,0.14,0.11,0,0.04,0.29,30,4,5.1,17,Mass Media,E
Sesame Street: Cookie's Counting Carnival,Wii,2010,3,Warner Bros. Interactive Entertainment,0.27,0,0,0.02,0.29,,,tbd,,Black Lantern Studios,EC
Dragon Ball Heroes: Ultimate Mission,3DS,2013,3,Namco Bandai Games,0,0,0.29,0,0.29,,,,,,
Namco Museum Vol.2,PS,1996,3,Sony Computer Entertainment,0.03,0.02,0.21,0.02,0.29,,,,,,
Battle & Get! Pokemon Typing DS,DS,2011,3,Nintendo,0,0,0.29,0,0.29,,,,,,
SingStar Country,PS2,2008,3,Sony Computer Entertainment,0.14,0.11,0,0.04,0.28,75,13,tbd,,SCEE London Studio,T
Hatsune Miku: Project Diva f,PS3,2013,3,Sega,0.08,0,0.19,0.02,0.28,73,10,8.4,108,Sega,T
Junior Brain Trainer 2,DS,2010,3,GSP,0.04,0.2,0,0.03,0.28,,,tbd,,Sanuk Games,E
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,3,Sammy Corporation,0,0,0.28,0,0.28,,,,,,
Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,3,Warner Bros. Interactive Entertainment,0.26,0,0,0.02,0.28,,,,,,
Guitar Hero: Van Halen,Wii,2009,3,Activision,0.13,0.12,0,0.03,0.28,50,12,5.2,6,Neversoft Entertainment,T
Disney Channel: All Star Party,Wii,2010,3,Disney Interactive Studios,0.18,0.08,0,0.02,0.28,,,tbd,,Disney Interactive Studios,E
Moshi Monsters: Moshlings Theme Park,3DS,2012,3,Activision,0.13,0.13,0,0.03,0.28,,,tbd,,Black Lantern Studios,E
Monopoly Streets,X360,2010,3,Electronic Arts,0.16,0.09,0,0.02,0.28,66,18,6.6,16,Electronic Arts,E
Pac-Man Fever,GC,N/A,3,Unknown,0.21,0.06,0,0.01,0.28,54,10,6.3,6,Mass Media,E
Trivial Pursuit,PS3,2009,3,Electronic Arts,0.12,0.11,0,0.05,0.28,66,13,7.1,7,EA Bright Light,E
The Smurfs: Dance Party,Wii,2011,3,Ubisoft,0.21,0.04,0,0.02,0.28,,,tbd,,Land Ho!,E
Pokemon Box: Ruby & Sapphire,GC,2003,3,Nintendo,0,0,0.27,0.01,0.28,,,,,,
Kobitodzukan: Kobito Kansatsu Set,3DS,2012,3,Nippon Columbia,0,0,0.28,0,0.28,,,,,,
Nichibutsu Arcade Classics,SNES,1995,3,Nichibutsu,0,0,0.28,0,0.28,,,,,,
Patapon 3,PSP,2011,3,Sony Computer Entertainment,0.05,0.03,0.17,0.02,0.27,74,41,7.2,35,SCE Japan Studio,E
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,3,Nintendo,0,0,0.27,0,0.27,,,,,,
Guitar Hero: Van Halen,PS3,2009,3,Activision,0.14,0.09,0,0.04,0.27,59,33,4.7,9,Neversoft Entertainment,T
Trivial Pursuit,PS2,2009,3,Electronic Arts,0.09,0.01,0,0.17,0.27,,,tbd,,EA Bright Light,E
Rock Revolution,X360,2008,3,Konami Digital Entertainment,0.25,0,0,0.02,0.27,38,28,5.1,17,"Zoe Mode, HB Studios Multimedia",T
Guitar Hero Live,PS3,2015,3,Activision,0.11,0.12,0,0.04,0.27,,,5.1,22,"Activision, FreeStyleGames",T
Bridge,2600,1980,3,Activision,0.25,0.02,0,0,0.27,,,,,,
Sing Party,WiiU,2012,3,Nintendo,0.13,0.12,0,0.02,0.27,60,21,5.4,18,FreeStyleGames,E10+
Rhythm Thief & the Emperor's Treasure,3DS,2012,3,Sega,0.07,0.07,0.12,0.01,0.27,,,,,,
Monopoly,DS,2010,3,Electronic Arts,0.15,0.09,0,0.02,0.27,,,tbd,,,
Wipeout 2,X360,2011,3,Activision,0.25,0,0,0.02,0.27,,,tbd,,Endemol,E10+
Rock Revolution,PS3,N/A,3,Unknown,0.25,0,0,0.02,0.27,42,20,6.6,12,"Zoe Mode, HB Studios Multimedia",T
Connect Four / Perfection / Trouble,GBA,2005,3,Zoo Digital Publishing,0.19,0.07,0,0,0.27,,,,,,
Just Dance Kids 2,Wii,2011,3,Ubisoft,0.25,0,0,0.02,0.27,,,tbd,,Ubisoft,E
Pinkalicious,DS,2011,3,GameMill Entertainment,0.25,0,0,0.02,0.27,,,tbd,,"GameMill Publishing, 1st Playable Productions",E
Reader Rabbit Kindergarten,DS,2008,3,Nordic Games,0.25,0,0,0.02,0.27,,,tbd,,The Learning Company,E
AC/DC LIVE: Rock Band Track Pack,Wii,2008,3,MTV Games,0.24,0,0,0.02,0.27,,,7.2,5,Harmonix Music Systems,T
Boogie,DS,2007,3,Electronic Arts,0.24,0,0,0.02,0.27,58,11,tbd,,EA Montreal,E10+
My Japanese Coach,DS,2008,3,Ubisoft,0.24,0,0,0.02,0.27,59,4,6.7,6,"Ubisoft, Sensory Sweep",E
Sonic X: Game Boy Advance Video Volume 1,GBA,2004,3,N/A,0.19,0.07,0,0,0.27,,,,,,
Sesame Street: Cookie's Counting Carnival,DS,2010,3,Warner Bros. Interactive Entertainment,0.25,0,0,0.02,0.26,,,,,,
Lowrider,PS2,2002,3,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46,14,8.4,11,Pacific Century Cyber Works,T
Family Feud: 2010 Edition,DS,2009,3,Ubisoft,0.24,0,0,0.02,0.26,,,tbd,,Ludia Inc.,E
DS Bungaku Zenshuu,DS,2007,3,Nintendo,0,0,0.26,0,0.26,,,,,,
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,GBA,2006,3,Konami Digital Entertainment,0.14,0.05,0.07,0.01,0.26,,,,,,
Bust A Groove 2,PS,1999,3,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66,8,8.9,35,Metro,E
Hatsune Miku: Project Diva,PSP,2009,3,Sega,0,0,0.26,0,0.26,,,,,,
Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,3,Take-Two Interactive,0.24,0,0,0.02,0.26,,,tbd,,Take-Two Interactive,E
Scene It? Twilight,Wii,2009,3,Konami Digital Entertainment,0.16,0.07,0,0.02,0.26,49,5,tbd,,Artificial Mind and Movement,T
Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004,3,N/A,0.18,0.07,0,0,0.26,,,,,,
"SpongeBob SquarePants: Lights, Camera, Pants!",XB,2005,3,THQ,0.19,0.06,0,0.01,0.26,,,,,,
Metroid Prime Pinball,DS,2005,3,Nintendo,0.21,0,0.02,0.02,0.25,79,51,7.9,32,Fuse Games Limited,E
Spelling Challenges and more!,PSP,2007,3,Crave Entertainment,0.24,0,0,0.02,0.25,,,,,,
World Series of Poker,XB,2005,3,Activision,0.19,0.05,0,0.01,0.25,52,14,tbd,,Activision Value,E10+
Smart Girl's Playhouse,DS,2007,3,505 Games,0.24,0,0,0.02,0.25,,,tbd,,Starfish SD,E
Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,2003,3,Disney Interactive Studios,0.12,0.1,0,0.03,0.25,56,6,tbd,,Ubisoft Shanghai,E
K-ON! Houkago Live!!,PSP,2010,3,Sega,0,0,0.25,0,0.25,,,,,,
Exhibition,XB,2001,3,Microsoft Game Studios,0.19,0.05,0,0.01,0.25,,,,,,
Scrabble,PS,1999,3,Ubisoft,0.14,0.1,0,0.02,0.25,,,,,,
Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004,3,N/A,0.18,0.07,0,0,0.25,,,,,,
Just Dance 2015,PS3,2014,3,Ubisoft,0.13,0.08,0,0.04,0.25,,,6.8,4,Ubisoft,E10+
Ben 10 Triple Pack,DS,2011,3,D3Publisher,0.12,0.11,0,0.02,0.25,,,tbd,,D3Publisher,E10+
PlayStation VR Worlds,PS4,2016,3,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25,59,48,7.1,73,Sony Interactive Entertainment,M
Scrabble,DS,2009,3,Ubisoft,0.2,0.02,0,0.03,0.25,,,tbd,,Stainless Games,E
Midway's Greatest Arcade Hits,GBA,2001,3,Midway Games,0.18,0.07,0,0,0.25,48,9,tbd,,Midway,E
Disney Sing It: Pop Hits,PS3,2009,3,Disney Interactive Studios,0.17,0.05,0,0.03,0.25,,,tbd,,Zoe Mode,E
Golden Nugget Casino,GBA,2004,3,Majesco Entertainment,0.18,0.07,0,0,0.25,,,tbd,,Majesco Games,E
Minute to Win It,Wii,2010,3,Zoo Games,0.23,0,0,0.02,0.25,,,3,4,Smack Down Productions,E
Atari Anthology,XB,2004,3,Atari,0.19,0.05,0,0.01,0.25,68,15,tbd,,Digital Eclipse,E
My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,3,Mentor Interactive,0.23,0,0,0.02,0.25,,,,,,
Michael Jackson: The Experience,DS,2010,3,Ubisoft,0.21,0.02,0,0.02,0.25,64,5,6.6,5,Ubisoft,E10+
Wheel of Fortune,N64,1997,3,Take-Two Interactive,0.2,0.05,0,0,0.25,,,,,,
Hatsune Miku: Project Diva F 2nd,PS3,2014,3,Sega,0.09,0.03,0.1,0.03,0.25,78,15,8.6,49,Sega,T
Karaoke Joysound Wii,Wii,2008,3,Hudson Soft,0,0,0.25,0,0.25,,,tbd,,Hudson,E10+
Caesars Palace II,PS,1998,3,Interplay,0.14,0.09,0,0.02,0.25,,,,,,
"Barbie: Jet, Set & Style!",Wii,2011,3,THQ,0.22,0.01,0,0.02,0.25,,,,,,
Nickelodeon Party Blast,GC,2002,3,Atari,0.19,0.05,0,0.01,0.25,,,tbd,,Data Design Interactive,E
U-Sing: Girls Night,Wii,2010,3,Mindscape,0,0.21,0,0.04,0.25,,,,,,
TV Superstars,PS3,2010,3,Sony Computer Entertainment,0.07,0.12,0,0.05,0.25,56,17,4.9,8,SCE Studio Cambridge,E
Sorry! / Aggravation / Scrabble Junior,GBA,2005,3,Zoo Digital Publishing,0.18,0.07,0,0,0.25,,,,,,
Wipeout 2,DS,2011,3,Activision,0.23,0,0,0.02,0.25,,,tbd,,Endemol,E
Mega Man X Collection,PS2,N/A,3,Unknown,0.12,0.09,0,0.03,0.24,73,23,8.8,14,Capcom,E
Hasbro Family Game Night 3,PS3,2010,3,Electronic Arts,0.18,0.04,0,0.03,0.24,,,tbd,,Electronic Arts,E
Britney's Dance Beat,PS2,2002,3,THQ,0.12,0.09,0,0.03,0.24,63,20,4.8,20,Metro Graphics,E
Disney Stitch Jam,DS,2009,3,Disney Interactive Studios,0.07,0,0.16,0.01,0.24,,,tbd,,Cattle Call,E
Super Monkey Ball Deluxe,PS2,2005,3,Sega,0.12,0.09,0,0.03,0.24,78,25,7.7,13,Sega,E
Dancing With The Stars,Wii,2007,3,Activision,0.22,0,0,0.02,0.24,42,5,6.2,5,Zoe Mode,E10+
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006,3,Sega,0,0,0.24,0,0.24,,,,,,
All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,3,N/A,0.17,0.06,0,0,0.24,,,,,,
Just Dance Kids 2,PS3,2011,3,Ubisoft,0.1,0.1,0,0.04,0.24,,,tbd,,Ubisoft,E
AC/DC LIVE: Rock Band Track Pack,PS3,2008,3,MTV Games,0.21,0.01,0,0.02,0.24,60,12,5.3,14,Harmonix Music Systems,T
The Price is Right 2010 Edition,Wii,2009,3,Ubisoft,0.22,0,0,0.02,0.24,,,tbd,,Ludia Inc.,E
South Park: Chef's Luv Shack,N64,1999,3,Acclaim Entertainment,0.19,0.05,0,0,0.24,,,,,,
Midway's Greatest Arcade Hits Volume 1,N64,2000,3,Midway Games,0.19,0.05,0,0,0.24,,,,,,
Checkers,2600,1980,3,Atari,0.22,0.01,0,0,0.24,,,,,,
Zumba Fitness: World Party,XOne,2013,3,Majesco Entertainment,0.17,0.05,0,0.02,0.24,73,5,6.2,40,Zoe Mode,E
Boogie SuperStar,Wii,2008,3,Electronic Arts,0.2,0.02,0,0.02,0.24,,,8.6,14,EA Montreal,E10+
Dreamcast Collection,X360,2011,3,Sega,0.16,0.06,0,0.02,0.24,53,31,5.2,10,Sega,T
My Street,PS2,2003,3,Sony Computer Entertainment,0.12,0.09,0,0.03,0.24,46,21,3.9,14,Idol Minds,E
Danganronpa: Trigger Happy Havoc,PSP,N/A,3,Unknown,0,0,0.24,0,0.24,,,,,,
Midway Arcade Treasures: Extended Play,PSP,2005,3,Midway Games,0.21,0,0,0.02,0.24,63,24,7.8,8,Digital Eclipse,M
Nickelodeon Dance,Wii,2011,3,Take-Two Interactive,0.21,0.01,0,0.01,0.24,,,tbd,,High Voltage Software,E
Sesame Street: Elmo's Number Journey,PS,1998,3,NewKidCo,0.13,0.09,0,0.02,0.24,,,,,,
Pictionary: Ultimate Edition,X360,2011,3,THQ,0.16,0.05,0,0.02,0.24,53,4,tbd,,Page 44 Studios,E
Pictionary: Ultimate Edition,PS3,2011,3,THQ,0.15,0.06,0,0.03,0.24,62,4,tbd,,Page 44 Studios,E
Karaoke Revolution Volume 2,PS2,2004,3,Konami Digital Entertainment,0.11,0.09,0,0.03,0.23,76,26,7,4,Harmonix Music Systems,E
Big Family Games,Wii,2009,3,THQ,0,0.22,0,0.02,0.23,,,,,,
Viva Pinata: Party Animals,X360,2007,3,Microsoft Game Studios,0.19,0.02,0,0.02,0.23,56,42,6.2,18,Krome Studios,E
Shrek's Carnival Craze Party Games,DS,2008,3,Activision,0.22,0,0,0.02,0.23,,,,,,
Hatsune Miku: Project Diva f,PSV,2012,3,Sega,0,0,0.23,0,0.23,81,10,8,90,Sega,T
Rock Band Country Track Pack,X360,2009,3,MTV Games,0.22,0,0,0.02,0.23,66,4,tbd,,Harmonix Music Systems,E10+
Loving Life with Hello Kitty & Friends,DS,2011,3,Rising Star Games,0.13,0.07,0,0.02,0.23,,,,,,
Yu-Gi-Oh! GX: Duel Academy,GBA,2005,3,Konami Digital Entertainment,0.17,0.06,0,0,0.23,,,,,,
Game & Wario,WiiU,2013,3,Nintendo,0.05,0.06,0.12,0.01,0.23,,,,,,
Rock Band Track Pack Volume 2,Wii,2008,3,MTV Games,0.2,0.01,0,0.02,0.23,,,,,,
Wipeout 2,3DS,2011,3,Activision,0.22,0,0,0.01,0.23,,,tbd,,Endemol,E
World Series of Poker 2008: Battle for the Bracelets,PS2,2007,3,Activision,0.11,0.09,0,0.03,0.23,,,tbd,,Left Field Productions,T
Carnival Island,PS3,2011,3,Sony Computer Entertainment,0.13,0.06,0,0.04,0.23,66,25,5.2,5,Magic Pixel Games,E
Ultimate Band,Wii,2008,3,Disney Interactive Studios,0.18,0.03,0,0.02,0.23,59,17,5.5,4,Disney Interactive Studios,E10+
Rock Band Track Pack Volume 1,Wii,2008,3,MTV Games,0.17,0.04,0,0.02,0.23,,,,,,
Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,3,Play It,0.2,0.01,0,0.02,0.23,73,27,8.1,13,Farsight Studios,E
Bicycle Casino 2005,XB,2004,3,Zoo Digital Publishing,0.17,0.05,0,0.01,0.23,,,,,,
Lumines: Electronic Symphony,PSV,2012,3,Ubisoft,0.09,0.09,0.01,0.04,0.23,83,65,7.8,85,Q Entertainment,E
AC/DC LIVE: Rock Band Track Pack,X360,2008,3,MTV Games,0.21,0,0,0.02,0.23,63,16,4.9,10,Harmonix Music Systems,T
Buzz! Junior: RoboJam,PS2,2007,3,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,,,,,,
Guitar Hero Live,X360,2015,3,Activision,0.13,0.08,0,0.02,0.23,,,5.5,19,Activision,T
New Carnival Games,DS,2010,3,Take-Two Interactive,0.16,0.05,0,0.02,0.22,,,tbd,,Cat Daddy Games,E
EX Monopoly,GBA,2001,3,Takara,0.16,0.06,0,0,0.22,,,,,,
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,3,Namco Bandai Games,0,0,0.22,0,0.22,,,,,,
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003,3,Acclaim Entertainment,0.17,0.04,0,0.01,0.22,,,,,,
Zumba Fitness: World Party,Wii,2013,3,Majesco Entertainment,0.11,0.1,0,0.02,0.22,,,tbd,,Zoe Mode,E
101-in-1 Party Megamix Wii,Wii,2009,3,Nordcurrent,0.19,0.01,0,0.02,0.22,,,,,,
Momotarou Dentetsu 15,PS2,2005,3,Hudson Soft,0,0,0.22,0,0.22,,,,,,
We Sing Pop!,Wii,2012,3,Nordic Games,0.05,0.15,0,0.02,0.22,,,,,,
Rock Band Track Pack: Classic Rock,Wii,2009,3,MTV Games,0.21,0,0,0.02,0.22,,,tbd,,Harmonix Music Systems,T
Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004,3,N/A,0.16,0.06,0,0,0.22,,,,,,
Duel Masters: Kaijudo Showdown,GBA,2004,3,Atari,0.16,0.06,0,0,0.22,66,10,tbd,,Mistic Software,E
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002,3,Acclaim Entertainment,0.11,0.08,0,0.03,0.22,,,,,,
Nickelodeon Party Blast,XB,2002,3,Infogrames,0.16,0.05,0,0.01,0.22,19,4,4.3,7,Data Design Interactive,E
Ultimate Band,DS,2008,3,Disney Interactive Studios,0.19,0.02,0,0.02,0.22,69,11,tbd,,Fall Line Studio,E
Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,3,Konami Digital Entertainment,0.14,0.06,0,0.02,0.22,,,,,,
Pinball Hall of Fame: The Williams Collection,PS3,2009,3,Crave Entertainment,0.2,0,0,0.02,0.22,82,16,7.9,8,Farsight Studios,E10+
Tamagotchi no KiraKira Omisecchi,DS,2008,3,Namco Bandai Games,0,0,0.22,0,0.22,,,,,,
Guitar Hero: Smash Hits,PS2,2009,3,Activision,0.11,0.01,0,0.1,0.22,69,6,8.3,6,Beenox,T
Kidz Bop Dance Party! The Video Game,Wii,2010,3,D3Publisher,0.2,0,0,0.01,0.22,,,,,,
KORG DS-10 Synthesizer,DS,2008,3,AQ Interactive,0.19,0.01,0,0.02,0.22,82,11,8.2,13,AQ Interactive,E
Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,3,Konami Digital Entertainment,0.18,0.02,0,0.02,0.22,,,,,,
American Idol,GBA,2003,3,Codemasters,0.15,0.06,0,0,0.22,,,4.8,5,Mobius Entertainment,E
Britney's Dance Beat,GBA,2002,3,THQ,0.15,0.06,0,0,0.22,53,14,7.4,5,Art,E
Pass the Pigs,DS,2008,3,THQ,0.2,0,0,0.02,0.22,,,,,,
Namco Museum: 50th Anniversary,GC,2005,3,Namco Bandai Games,0.17,0.04,0,0.01,0.21,60,23,tbd,,Backbone Vancouver,E10+
Yoostar2,X360,2011,3,Unknown,0.11,0.09,0,0.02,0.21,,,,,,
Momotarou Dentetsu 16,PS2,2006,3,Hudson Soft,0,0,0.21,0,0.21,,,,,,
Petz: Horse Club,Wii,2008,3,Ubisoft,0.2,0,0,0.02,0.21,,,tbd,,Phoenix Interactive Entertainment,E
World Poker Tour,PS2,2005,3,Take-Two Interactive,0.1,0.08,0,0.03,0.21,60,17,8.6,5,Coresoft,T
SingStar Pop Edition,PS3,2009,3,Sony Computer Entertainment,0,0.18,0,0.03,0.21,,,,,,
Hasbro Family Game Night 3,X360,2010,3,Electronic Arts,0.17,0.03,0,0.02,0.21,,,,,,
Order Up!,Wii,2008,3,Zoo Digital Publishing,0.19,0.01,0,0.02,0.21,,,,,,
Monopoly,N64,1999,3,Hasbro Interactive,0.17,0.04,0,0,0.21,,,,,,
DanceDanceRevolution II,Wii,N/A,3,Konami Digital Entertainment,0.2,0,0,0.01,0.21,,,tbd,,Konami,E10+
Now! That's What I Call Music: Dance & Sing,Wii,2011,3,Unknown,0,0.17,0,0.04,0.21,,,,,,
World Series of Poker,PSP,2005,3,Activision,0.19,0,0,0.02,0.21,37,6,6.4,20,Activision,E10+
Rayman Raving Rabbids,X360,2007,3,Ubisoft,0.18,0.01,0,0.02,0.21,67,16,7.3,19,Ubisoft Montpellier,E
